5	1	3
1	3	4
6	4	5
5	5	7
5	7	9
3	9	10
5	10	11
6	11	12
1	12	13
5	13	15
5	15	17
6	17	19
5	19	20
3	20	21
2	21	23
2	23	25
3	25	27
5	27	28
3	28	29
2	29	31
1	31	33
6	33	34
5	34	35
6	35	36
5	36	37
3	37	38
6	38	39
5	39	41
2	41	42
5	42	43
3	43	44
2	44	45
1	45	49
6	49	50
1	50	51
2	51	52
3	52	53
1	53	57
5	57	59
1	59	60
6	60	61
5	61	63
5	63	65
3	65	66
5	66	67
6	67	68
1	68	69
5	69	71
5	71	73
6	73	75
5	75	76
3	76	77
2	77	79
2	79	81
3	81	83
5	83	84
3	84	85
2	85	87
1	87	89
6	89	90
5	90	91
6	91	92
5	92	93
3	93	94
6	94	95
5	95	97
2	97	98
5	98	99
3	99	100
2	100	101
1	101	105
6	105	106
1	106	107
2	107	108
3	108	109
1	109	113
